ppc_id,pro_id,client_id,ppc_scope,budget_time,monthly_avg_spend
PPC194,PRO0978,CNT326,23000,115,80
PPC195,PRO0981,CNT327,24000,120,100
PPC196,PRO0990,CNT330,27000,135,85
PPC197,PRO0996,CNT332,29000,145,167
PPC198,PRO0999,CNT333,30000,150,120
PPC199,PRO1002,CNT334,31000,155,121
PPC200,PRO1005,CNT335,32000,160,74
PPC201,PRO1008,CNT336,33000,165,148
PPC202,PRO1014,CNT338,35000,175,118
PPC203,PRO1017,CNT339,10000,50,186
PPC204,PRO1020,CNT340,11000,55,197
PPC205,PRO1026,CNT342,13000,65,57
PPC206,PRO1029,CNT343,14000,70,154
PPC207,PRO1032,CNT344,15000,75,191
PPC208,PRO1044,CNT348,19000,95,117
PPC209,PRO1047,CNT349,20000,100,79
PPC210,PRO1050,CNT350,21000,105,134
PPC211,PRO1053,CNT351,22000,110,96
PPC212,PRO1062,CNT354,25000,125,110
PPC213,PRO1065,CNT355,26000,130,69
PPC214,PRO1068,CNT356,27000,135,81
PPC215,PRO1074,CNT358,29000,145,150
PPC216,PRO1077,CNT359,30000,150,151
PPC217,PRO1080,CNT360,31000,155,116
PPC218,PRO1083,CNT361,32000,160,102
PPC219,PRO1086,CNT362,33000,165,159
PPC220,PRO1089,CNT363,34000,170,117
PPC221,PRO1092,CNT364,10000,50,168
PPC222,PRO1095,CNT365,11000,55,130
PPC223,PRO1098,CNT366,12000,60,63
PPC224,PRO1104,CNT368,14000,70,116
PPC225,PRO1107,CNT369,15000,75,69
PPC226,PRO1110,CNT370,16000,80,198
PPC227,PRO1116,CNT372,18000,90,140
PPC228,PRO1125,CNT375,21000,105,149
PPC229,PRO1131,CNT377,23000,115,133
PPC230,PRO1134,CNT378,24000,120,58
PPC231,PRO1137,CNT379,25000,125,188
PPC232,PRO1140,CNT380,26000,130,124
PPC233,PRO1146,CNT382,28000,140,183
PPC234,PRO1152,CNT384,30000,150,106
PPC235,PRO1155,CNT385,31000,155,189
PPC236,PRO1173,CNT391,11000,55,127
PPC237,PRO1182,CNT394,14000,70,120
PPC238,PRO1185,CNT395,15000,75,145
PPC239,PRO1191,CNT397,17000,85,140
PPC240,PRO1194,CNT398,18000,90,185
PPC241,PRO1206,CNT402,22000,110,88
PPC242,PRO1209,CNT403,23000,115,97
PPC243,PRO1212,CNT404,24000,120,81
PPC244,PRO1215,CNT405,25000,125,78
PPC245,PRO1218,CNT406,26000,130,155
PPC246,PRO1224,CNT408,28000,140,70
PPC247,PRO1227,CNT409,29000,145,161
PPC248,PRO1233,CNT411,31000,155,148
PPC249,PRO1236,CNT412,32000,160,62
PPC250,PRO1242,CNT414,34000,170,76
PPC251,PRO1245,CNT415,35000,175,190
PPC252,PRO1248,CNT416,10000,50,118
PPC253,PRO1251,CNT417,11000,55,183
PPC254,PRO1254,CNT418,12000,60,61
PPC255,PRO1260,CNT420,14000,70,60
PPC256,PRO1263,CNT421,15000,75,94
PPC257,PRO1266,CNT422,16000,80,91
PPC258,PRO1272,CNT424,18000,90,77
PPC259,PRO1275,CNT425,19000,95,120
PPC260,PRO1278,CNT426,20000,100,127
PPC261,PRO1281,CNT427,21000,105,173
PPC262,PRO1284,CNT428,22000,110,183
PPC263,PRO1287,CNT429,23000,115,82
PPC264,PRO1296,CNT432,26000,130,148
PPC265,PRO1308,CNT436,30000,150,86
PPC266,PRO1314,CNT438,32000,160,145
PPC267,PRO1320,CNT440,34000,170,83
PPC268,PRO1323,CNT441,35000,175,176
PPC269,PRO1326,CNT442,10000,50,148
PPC270,PRO1329,CNT443,11000,55,97
PPC271,PRO1332,CNT444,12000,60,98
PPC272,PRO1335,CNT445,13000,65,94
PPC273,PRO1338,CNT446,14000,70,115
PPC274,PRO1347,CNT449,17000,85,130
PPC275,PRO1353,CNT451,19000,95,176
PPC276,PRO1356,CNT452,20000,100,129
PPC277,PRO1359,CNT453,21000,105,55
PPC278,PRO1362,CNT454,22000,110,99
PPC279,PRO1368,CNT456,24000,120,79
PPC280,PRO1371,CNT457,25000,125,74
PPC281,PRO1374,CNT458,26000,130,70
PPC282,PRO1377,CNT459,27000,135,160
PPC283,PRO1386,CNT462,30000,150,159
PPC284,PRO1389,CNT463,31000,155,187
PPC285,PRO1395,CNT465,33000,165,128
PPC286,PRO1398,CNT466,34000,170,199
PPC287,PRO1401,CNT467,35000,175,114
PPC288,PRO1413,CNT471,13000,65,183
PPC289,PRO1416,CNT472,14000,70,87
PPC290,PRO1419,CNT473,15000,75,182
PPC291,PRO1422,CNT474,16000,80,146
PPC292,PRO1425,CNT475,17000,85,84
PPC293,PRO1434,CNT478,20000,100,165
PPC294,PRO1440,CNT480,22000,110,54
PPC295,PRO1446,CNT482,24000,120,83
PPC296,PRO1449,CNT483,25000,125,103
PPC297,PRO1452,CNT484,26000,130,56
PPC298,PRO1455,CNT485,27000,135,62
PPC299,PRO1458,CNT486,28000,140,196
PPC300,PRO1461,CNT487,29000,145,143
PPC301,PRO1464,CNT488,30000,150,97
PPC302,PRO1467,CNT489,31000,155,67
PPC303,PRO1473,CNT491,33000,165,62
PPC304,PRO1476,CNT492,34000,170,114
PPC305,PRO1482,CNT494,10000,50,126
PPC306,PRO1485,CNT495,11000,55,100
PPC307,PRO1488,CNT496,12000,60,67
PPC308,PRO1491,CNT497,13000,65,161
PPC309,PRO1494,CNT498,14000,70,125
PPC310,PRO1497,CNT499,15000,75,169
PPC311,PRO1500,CNT500,16000,80,94
